Ps,Trial ,Score,Age
40,2,77.24815699,21-40
40,3,58.65515515,21-40
40,4,90.71761715,21-40
40,5,167.5516649,21-40
41,1,32.02848514,21-40
41,2,81.11290501,21-40
41,3,105.3437452,21-40
41,4,144.6960869,21-40
41,5,296.4759406,21-40
42,1,32.79241716,21-40
42,2,76.19952981,21-40
42,3,55.41134356,21-40
42,4,80.4947413,21-40
42,5,101.0283648,21-40
43,1,32.79241716,21-40
43,2,77.18118381,21-40
43,3,62.55762052,21-40
43,4,87.95490497,21-40
43,5,106.6139948,21-40
44,1,32.62084429,21-40
44,2,77.6919121,21-40
44,3,62.32904822,21-40
44,4,134.8002321,21-40
44,5,121.9204553,21-40
45,1,33.72792206,21-40
45,2,78.46461113,21-40
45,3,57.3803979,21-40
45,4,107.6422285,21-40
45,5,132.3149507,21-40
46,1,31.61427158,21-40
46,2,77.6024605,21-40
46,3,137.3939547,21-40
46,4,163.8969678,21-40
46,5,146.6020881,21-40
47,1,31.38477631,21-40
47,2,78.05697028,21-40
47,3,57.06936871,21-40
47,4,75.21661885,21-40
47,5,98.88190835,21-40
48,1,31.02848514,21-40
48,2,79.70067911,21-40
48,3,58.51906403,21-40
48,4,80.26427285,21-40
48,5,102.1046745,21-40
49,1,32.61427158,21-40
49,2,76.57168891,21-40
49,3,59.15747535,21-40
49,4,87.02096032,21-40
49,5,105.1456188,21-40
50,1,31.20663073,21-40
50,2,77.45803843,21-40
50,3,57.53512967,21-40
50,4,91.60294677,21-40
50,5,108.284436,21-40
51,1,32.3782036,21-40
51,2,79.40668874,21-40
51,3,62.44489301,21-40
51,4,83.52910624,21-40
51,5,118.3882128,21-40
52,1,30.85033956,21-40
52,2,80.88345645,21-40
52,3,62.08913355,21-40
52,4,78.68875481,21-40
52,5,98.41201341,21-40
53,1,32.20663073,21-40
53,2,76.33781523,21-40
53,3,60.92219243,21-40
53,4,90.79968279,21-40
53,5,130.0788002,21-40
54,1,31.02848514,21-40
54,2,76.57830833,21-40
54,3,61.0585686,21-40
54,4,93.25595082,21-40
54,5,160.1700778,21-40
55,1,30.85033956,21-40
55,2,77.72467135,21-40
55,3,57.27272765,21-40
55,4,117.8219759,21-40
55,5,146.0972431,21-40
56,1,31.61427158,21-40
56,2,82.26690193,21-40
56,3,64.25969194,21-40
56,4,86.16234895,21-40
56,5,111.7228395,21-40
57,1,31.20663073,21-40
57,2,75.73888338,21-40
57,3,61.87438201,21-40
57,4,100.6273197,21-40
57,5,124.0735813,21-40
58,1,32.78584445,21-40
58,2,79.22217708,21-40
58,3,87.01534323,21-40
58,4,83.99159892,21-40
58,5,134.3084749,21-40
59,1,31.02848514,21-40
59,2,76.71188357,21-40
59,3,63.52296094,21-40
59,4,105.9255144,21-40
59,5,116.8245189,21-40
60,1,31.20663073,21-40
60,2,77.46348694,21-40
60,3,139.0253349,21-40
60,4,100.0450495,21-40
60,5,136.5529692,21-40
1,1,32.55634919,41-60
1,2,179.4191131,41-60
1,3,130.4866659,41-60
1,4,89.89532126,41-60
1,5,126.9999887,41-60
2,1,32.627417,41-60
2,2,82.96346184,41-60
2,3,80.63350821,41-60
2,4,109.7717469,41-60
2,5,308.7623179,41-60
3,1,32.43612599,41-60
3,2,93.15694714,41-60
3,3,73.72861498,41-60
3,4,106.0411526,41-60
3,5,153.0607881,41-60
4,1,33.38477631,41-60
4,2,78.09959966,41-60
4,3,66.28534136,41-60
4,4,100.3053541,41-60
4,5,120.1092141,41-60
5,1,33.79898987,41-60
5,2,77.98590247,41-60
5,3,160.1658687,41-60
5,4,101.8826749,41-60
5,5,125.0285564,41-60
6,1,61.6919121,41-60
6,2,96.7520288,41-60
6,3,95.16624236,41-60
6,4,150.379011,41-60
6,5,368.0528796,41-60
7,1,33.61427158,41-60
7,2,77.1257395,41-60
7,3,58.64045812,41-60
7,4,99.1302324,41-60
7,5,240.6540548,41-60
8,1,32.61427158,41-60
8,2,75.39354332,41-60
8,3,75.17281507,41-60
8,4,128.4439409,41-60
8,5,231.8189981,41-60
9,1,33.60769887,41-60
9,2,75.5673105,41-60
9,3,70.10831997,41-60
9,4,124.3728731,41-60
9,5,134.0876497,41-60
10,1,35.03505785,41-60
10,2,87.46461113,41-60
10,3,107.2285432,41-60
10,4,268.0443318,41-60
10,5,156.5718069,41-60
11,1,37.67219397,41-60
11,2,76.57168891,41-60
11,3,60.20882503,41-60
11,4,84.59360134,41-60
11,5,124.4373682,41-60
12,1,34.79898987,41-60
12,2,80.51376652,41-60
12,3,64.80118418,41-60
12,4,94.1346108,41-60
12,5,119.5299502,41-60
13,1,34.02191243,41-60
13,2,80.52033922,41-60
13,3,69.18381289,41-60
13,4,88.47775655,41-60
13,5,125.600174,41-60
14,1,35.97056275,41-60
14,2,80.50719381,41-60
14,3,63.96618434,41-60
14,4,92.23731017,41-60
14,5,196.6277538,41-60
15,1,35.85033956,41-60
15,2,75.03725215,41-60
15,3,72.33562093,41-60
15,4,130.0363,41-60
15,5,151.5237757,41-60
16,1,35.14213562,41-60
16,2,78.33562093,41-60
16,3,63.92360167,41-60
16,4,210.4561342,41-60
16,5,126.6865816,41-60
17,1,34.96399004,41-60
17,2,76.77910118,41-60
17,3,60.17221908,41-60
17,4,105.4761042,41-60
17,5,138.5992686,41-60
18,1,41.72792206,41-60
18,2,79.7564072,41-60
18,3,63.39354332,41-60
18,4,125.0165819,41-60
18,5,391.5406842,41-60
19,1,33.72792206,41-60
19,2,78.5651162,41-60
19,3,71.8788247,41-60
19,4,113.3701973,41-60
19,5,353.5496279,41-60
20,1,32.4930752,41-60
20,2,80.74326178,41-60
20,3,67.20570776,41-60
20,4,97.97349891,41-60
20,5,298.6333411,41-60
21,1,36.3137085,41-60
21,2,79.67876668,41-60
21,3,71.33124252,41-60
21,4,105.6471453,41-60
21,5,193.1095622,41-60
22,1,33.78584445,41-60
22,2,76.6296113,41-60
22,3,61.73668907,41-60
22,4,96.82747501,41-60
22,5,146.5193871,41-60
23,1,187.4301291,41-60
23,2,139.7665463,41-60
23,3,67.50938811,41-60
23,4,88.93894139,41-60
23,5,231.6222621,41-60
24,1,44.05519989,41-60
24,2,81.76522092,41-60
24,3,71.98590247,41-60
24,4,108.8875917,41-60
24,5,136.6389778,41-60
25,1,35.62084429,41-60
25,2,82.27769854,41-60
25,3,146.2133214,41-60
25,4,253.5697306,41-60
25,5,337.7656866,41-60
26,1,38.55634919,41-60
26,2,79.79898987,41-60
26,3,89.05039757,41-60
26,4,137.9138825,41-60
26,5,211.6834352,41-60
27,1,32.85033956,41-60
27,2,80.51376652,41-60
27,3,152.7182131,41-60
27,4,104.0290846,41-60
27,5,207.1643381,41-60
28,1,33.96399004,41-60
28,2,86.5689664,41-60
28,3,72.57826162,41-60
28,4,91.23731017,41-60
28,5,163.2648432,41-60
29,1,32.97056275,41-60
29,2,77.45146572,41-60
29,3,67.6941064,41-60
29,4,88.53787325,41-60
29,5,153.9817464,41-60
30,1,38.3782036,41-60
30,2,84.17719347,41-60
30,3,82.39354332,41-60
30,4,224.0015323,41-60
30,5,535.4314571,41-60
31,1,34.14213562,41-60
31,2,83.99247518,41-60
31,3,67.21539774,41-60
31,4,116.6155138,41-60
31,5,245.1599597,41-60
32,1,33.72792206,41-60
32,2,78.51376652,41-60
32,3,61.33562093,41-60
32,4,101.7810924,41-60
32,5,128.7479559,41-60
33,1,32.02191243,41-60
33,2,75.79461147,41-60
33,3,66.51376652,41-60
33,4,89.59360134,41-60
33,5,115.4570863,41-60
34,1,31.26455312,41-60
34,2,81.46461113,41-60
34,3,56.85253386,41-60
34,4,79.93017438,41-60
34,5,113.8953388,41-60
35,1,32.3782036,41-60
35,2,75.39354332,41-60
35,3,75.27112583,41-60
35,4,84.12146538,41-60
35,5,122.5575914,41-60
36,1,30.85033956,41-60
36,2,75.00372635,41-60
36,3,57.40074116,41-60
36,4,85.24581519,41-60
36,5,143.1661764,41-60
37,1,32.20663073,41-60
37,2,82.07171402,41-60
37,3,57.25721386,41-60
37,4,85.51698422,41-60
37,5,127.5117369,41-60
38,1,32.61427158,41-60
38,2,77.04382486,41-60
38,3,61.39354332,41-60
38,4,94.89416442,41-60
38,5,115.0156087,41-60
39,1,30.4426987,41-60
39,2,76.27872194,41-60
39,3,92.40284205,41-60
39,4,226.532233,41-60
39,5,117.4101726,41-60
40,1,32.20005802,41-60
40,2,77.96735875,41-60
40,3,60.41096285,41-60
40,4,108.0340482,41-60
40,5,119.2569742,41-60
41,1,32.97056275,41-60
41,2,77.50009289,41-60
41,3,75.29040917,41-60
41,4,96.2341929,41-60
41,5,167.6826565,41-60
